epoch,task_num,valid_loss,valid_acc
0,1,0.0005382360344752669,0.95765
1,1,0.0003656875526532531,0.9715166666666667
2,1,0.0002859251706317688,0.9771666666666666
3,1,0.00023004615877289324,0.9818
4,1,0.00021248989099015793,0.9832166666666666
5,1,0.00018249479447646688,0.9859166666666667
6,1,0.0001433505341759883,0.9889166666666667
7,1,0.0001269448138618221,0.9904333333333334
8,1,0.0001320655840827385,0.9895833333333334
9,1,0.00011444138526761284,0.9908833333333333
10,1,9.681873529722604e-05,0.9925333333333334
11,1,8.943779786835269e-05,0.99285
12,1,9.137418375272924e-05,0.9928166666666667
13,1,7.525326635028856e-05,0.9942166666666666
14,1,6.753360339207574e-05,0.9949666666666667
15,1,6.847208316467003e-05,0.9948333333333333
16,1,7.207476228359156e-05,0.9943166666666666
17,1,6.374701010305823e-05,0.99525
18,1,5.864437414566055e-05,0.9957
19,1,5.9978284465614707e-05,0.9953666666666666
20,1,4.962974741938524e-05,0.9964833333333334
21,1,6.225156883253172e-05,0.9956833333333334
22,1,5.95047641118678e-05,0.9956833333333334
23,1,5.15225488129848e-05,0.9960333333333333
24,1,4.043298227067377e-05,0.9971
25,1,4.2045276966139986e-05,0.9971166666666667
26,1,3.9965783674657964e-05,0.9972833333333333
27,1,3.887207797767284e-05,0.9972833333333333
28,1,3.421846940254909e-05,0.9978
29,1,3.478059885383118e-05,0.9976333333333334
30,1,3.008146153539807e-05,0.9979833333333333
31,1,3.29103366365113e-05,0.9978833333333333
32,1,3.0404976984148864e-05,0.9978666666666667
33,1,3.150272782101335e-05,0.9978166666666667
34,1,2.8567804183937066e-05,0.9982
35,1,2.74782591824381e-05,0.9983
36,1,2.6783925066896092e-05,0.9985
37,1,2.5026533393611317e-05,0.9984166666666666
38,1,2.9551111644832416e-05,0.9980166666666667
39,1,2.7561608027705613e-05,0.9984833333333333
40,1,2.5396163749004094e-05,0.9983
41,1,2.2338353988258555e-05,0.9987
42,1,2.4453960552151936e-05,0.9984666666666666
43,1,2.2296036476715625e-05,0.9986166666666667
44,1,2.1250977985134037e-05,0.9989
45,1,2.4356225650020254e-05,0.9986666666666667
46,1,2.52793869440211e-05,0.9982166666666666
47,1,2.4080755532728896e-05,0.9985666666666667
48,1,2.546083477548867e-05,0.9984666666666666
49,1,1.9858535555007014e-05,0.99885
50,1,1.7534833416842353e-05,0.9990333333333333
51,1,1.9643734069298563e-05,0.99885
52,1,1.9034244244539877e-05,0.9988666666666667
53,1,1.79792759285192e-05,0.9990666666666667
54,1,1.7603734603956885e-05,0.9990666666666667
55,1,1.5694976673694328e-05,0.99905
56,1,1.722771255590487e-05,0.99885
57,1,1.947330494755685e-05,0.9988666666666667
58,1,1.221700783232033e-05,0.99945
59,1,1.707801486530419e-05,0.9988166666666667
60,1,1.6180231666294276e-05,0.9990333333333333
61,1,1.2383281261524342e-05,0.99935
62,1,1.3937721374289442e-05,0.9992
63,1,1.4283319384291341e-05,0.9991
