epoch,task_num,valid_loss,valid_acc
0,1,0.008485722541809081,0.212
1,1,0.007830926418304443,0.298
2,1,0.007078606843948365,0.368
3,1,0.006556052446365357,0.45
4,1,0.006095633745193481,0.486
5,1,0.005709032773971558,0.55
6,1,0.005324998140335083,0.57
7,1,0.005066302299499512,0.598
8,1,0.004763443470001221,0.626
9,1,0.004487946987152099,0.634
10,1,0.004430423498153687,0.648
11,1,0.004495302200317383,0.622
12,1,0.004389548063278198,0.652
13,1,0.004254186391830444,0.658
14,1,0.004183946371078491,0.672
15,1,0.004264425992965698,0.67
16,1,0.0040744831562042234,0.678
17,1,0.004040377736091613,0.678
18,1,0.003945292949676514,0.668
19,1,0.004197304964065552,0.696
20,1,0.004135703563690186,0.688
21,1,0.004314547777175904,0.678
22,1,0.004140739440917969,0.7
23,1,0.004270899295806885,0.698
24,1,0.004401679754257202,0.696
25,1,0.004549512386322022,0.702
26,1,0.004770907878875732,0.704
27,1,0.004755028963088989,0.698
28,1,0.004697531223297119,0.71
29,1,0.004665533542633057,0.708
30,1,0.004799420833587646,0.702
31,1,0.004854933977127075,0.702
32,1,0.004806283950805664,0.71
33,1,0.004943909168243409,0.71
34,1,0.004971977710723877,0.71
35,1,0.00490854811668396,0.7
36,1,0.004950513124465942,0.706
37,1,0.004952880620956421,0.698
38,1,0.004916233539581299,0.706
39,1,0.004905397415161133,0.698
40,1,0.004931976318359375,0.702
41,1,0.004948260068893433,0.708
42,1,0.004952888488769531,0.7
43,1,0.004950573682785034,0.702
44,1,0.004957199811935425,0.698
45,1,0.004953009605407715,0.7
46,1,0.004960633277893066,0.704
47,1,0.004958911418914795,0.702
48,1,0.004964446067810059,0.702
49,1,0.004959861516952515,0.702
50,1,0.0049581735134124755,0.7
51,1,0.004956336975097656,0.702
52,1,0.004958933830261231,0.702
53,1,0.004959407806396484,0.702
100,2,0.008392924308776856,0.358
100,1,0.004590467691421509,0.622
101,2,0.007681682586669922,0.422
101,1,0.004383497476577759,0.648
102,2,0.007371405601501465,0.446
102,1,0.0052213256359100345,0.574
103,2,0.0066814861297607425,0.482
103,1,0.004465735435485839,0.654
104,2,0.006603543519973755,0.518
104,1,0.004995609998703003,0.584
105,2,0.00633852219581604,0.51
105,1,0.0045677504539489745,0.638
106,2,0.006384657144546509,0.496
106,1,0.004612278938293457,0.622
107,2,0.006187041521072387,0.498
107,1,0.004959130048751831,0.606
108,2,0.005961123466491699,0.54
108,1,0.005245942115783692,0.586
109,2,0.005879402160644531,0.542
109,1,0.0053246977329254154,0.586
110,2,0.005963652849197388,0.546
110,1,0.004459924459457397,0.648
111,2,0.005837404251098633,0.576
111,1,0.004868330240249634,0.626
112,2,0.005935706377029419,0.558
112,1,0.00450495171546936,0.658
113,2,0.0057043304443359375,0.578
113,1,0.005050478458404541,0.61
114,2,0.005652385234832764,0.57
114,1,0.004682421445846558,0.64
115,2,0.005529285907745362,0.58
115,1,0.0052669293880462644,0.584
116,2,0.005623682737350464,0.59
116,1,0.004817486524581909,0.626
117,2,0.005689399003982544,0.546
117,1,0.005134133100509644,0.598
118,2,0.005433183670043945,0.604
118,1,0.0050086119174957274,0.62
119,2,0.005773028135299682,0.568
119,1,0.004906513690948486,0.644
120,2,0.005510299444198608,0.608
120,1,0.004974097967147827,0.606
121,2,0.005395367622375489,0.614
121,1,0.005174285888671875,0.6
122,2,0.005701945543289184,0.594
122,1,0.005315218448638916,0.602
123,2,0.005495055198669434,0.596
123,1,0.0051585004329681395,0.588
124,2,0.005290822267532348,0.614
124,1,0.00500141716003418,0.61
125,2,0.005398904800415039,0.62
125,1,0.0051166341304779055,0.6
126,2,0.005368993282318115,0.624
126,1,0.0052581076622009275,0.592
127,2,0.005552276372909546,0.61
127,1,0.004899974346160889,0.62
128,2,0.0059941725730896,0.576
128,1,0.004899128675460816,0.628
129,2,0.005465476274490356,0.602
129,1,0.005361836194992065,0.56
130,2,0.005157994747161865,0.626
130,1,0.0050947597026824954,0.608
131,2,0.005024735689163208,0.638
131,1,0.0051311120986938475,0.6
132,2,0.005092538833618164,0.63
132,1,0.004995368003845215,0.618
133,2,0.004974056243896485,0.638
133,1,0.005137071847915649,0.61
134,2,0.004936405897140503,0.638
134,1,0.0050555036067962645,0.6
135,2,0.00492963719367981,0.626
135,1,0.005206647396087646,0.596
